ID,NAME OF THE DAM,OTHER NAME,DECIMAL DEGREE LATITUDE,DECIMAL DEGREE LONGITUDE,HEIGHT,LENGTH,RESERVOIR CAPACITY,RESERVOIR AREA,RESERVOIR NAME,RIVER,INTERNATIONAL,YEAR OF COMPLETION,FLOOD CONTROL,IRRIGATION,HYDROELECTRICITY,NAVIGATION,RECREATION,WATER SUPPLY,OTHER USE,COUNTRY,NEAREST TOWN,STATE / PROVINCE,NOTE
3.0043,BILLINGS,,-23.70477,-46.67534822,30,1150,1229,,Billings Reservoir,Billings,,1973,,,X,,,X,,Brazil,São Bernardo do Campo,São Paulo,
3.0044,BIRITIBA,,-23.6034,-46.08890465,31,520,34.761,0.01,,Biritiba Mirim,,2005,X,,,,,,X,Brazil,Biritiba-Mirim,São Paulo,
3.0045,BLANG,,-29.325379,-50.61630396,,,,,,,,,,,,,,,,Brazil,São Francisco de Paula,Rio Grande do Sul,
3.0046,BOA ESPERANÇA,,-6.7492692,-43.56824631,53,5212,5059,0.363,Grajau,Parnaíba,,1970,X,,X,,,,,Brazil,São João dos Patos/Guadalupe,Maranhão/Piauí,
3.0047,BOA ESPERANÇA I,,-21.0688,-45.5565,21,,420,,,Marimbondo,,,,,,,,,,Brazil,Boa Esperança,Minas Gerais,
3.0048,BOA SORTE,,-11.889698,-46.76965564,30,,18.3,,,Palmeiras,,,,,,,,,,Brazil,Dianópolis/Novo Jardim,Tocantins,
3.0049,BOA VISTA,,-8.0603,-39.0531,23,,16.448,0.001,,Boa Vista,,,,,,,,,,Brazil,Salgueiro,Pernambuco,
3.005,BOCAINA,,-6.9134,-41.307,83,,6824,0.439,,Paranaíba,,,,,,,,,,Brazil,Davinópolis/Abadia dos Dourados,Goiás/Minas Gerais,
3.0051,BOM JESUS DO GALHO,,-19.823201,-42.319042,,,14.2,,,Sacramento,,,,,,,,,,Brazil,Bom Jesus do Galho,Minas Gerais,
3.0052,BOM RETIRO,,-29.6091,-51.9507,17,,22.5,,,Taquari,,,,,,,,,,Brazil,Venâncio Aires/Bom Retiro do Sul,Rio Grande do Sul,
3.0053,BONITO,,-29.0843,-49.8652,22,,6,,,Bonito,,,,,,,,,,Brazil,Sombrio,Santa Catarina,
3.0054,BONITO,,-4.3373,-40.629,21,,6,,,Acaraú,,,,,,,,,,Brazil,Ipu,Ceará,
3.0055,BONITO II,,-6.2152913,-38.4334645,22,,10.865,0.003,,Apodi,,,,,,,,,,Brazil,São Miguel,Rio Grande do Norte,
3.0056,BOQUEIRÃO DE CABACEIRAS,EPITÁCIO PESSOA,-7.48375,-36.14125,56,347,535.68,0.027,Boqueirao,Paraíba,,1956,,,,,,X,,Brazil,Boqueirão,Paraíba,
3.0057,BORTOLAN,,-21.78155,-46.6323998,,,,,,,,,,,,,,,,Brazil,Poços de Caldas,Minas Gerais,
3.0058,BRACINHO I,,-26.329925,-49.09599624,17,,0.2,,,Bracinho,,,,,,,,,,Brazil,Schroeder,Santa Catarina,
3.0059,BRAÇO NORTE IV,,-9.683954,-54.963201,26,,20.57,,,Braço Norte,,,,,,,,,,Brazil,Novo Mundo/Guarantã do Norte,Mato Grosso,
3.006,BROTAS,,-7.7441259,-37.62130079,19,,19.64,2.6,,Pajeú,,,,,,,,,,Brazil,Afogados da Ingazeira,Pernambuco,
3.0061,BRUMADO,LUIZ VIEIRA,-13.5684,-41.8239,60,,105,,,Brumado,,,,,,,,,,Brazil,Rio de Contas,Bahia,
3.0062,BUGRES,,-29.3469,-50.7016,28,,50,16.3,,Santa Maria,,,,,X,,,,,Brazil,Canela,Rio Grande do Sul,
